DEPOSITO ORIGEM,MATERIAL,DEPOSITO DESTINO,QUANTIDADE
3058,214569,3129,1.0
3058,214577,3129,3.0
3058,219667,3129,94.0
3058,227405,3129,4.0
3058,228981,3129,3.0
3058,231431,3129,1.0
3058,376373,3129,0.32000000000001805
3058,378809,3129,53.0
3058,379134,3129,10.0
3058,225631,3297,12.0
3058,225664,3297,112.0
3058,270439,3297,31.0
3058,353199,3297,6.0
3058,374393,3297,6.6
3058,375718,3297,1.0
3129,207449,3058,7.0
3129,226084,3058,41.0
3129,271486,3058,14.0
3129,39586,3297,33.0
3129,66878,3297,1.0
3129,214569,3297,16.0
3129,237081,3297,6.0
3129,271338,3297,33.0
3129,378857,3297,4.0
3129,383152,3297,1.0
3297,2980,3058,6.0
3297,207506,3058,1.0
3297,226456,3058,6.0
3297,229005,3058,51.0
3297,271403,3058,16.0
3297,357341,3058,0.73
3297,357342,3058,0.57
3297,374388,3058,3.0
3297,378809,3058,109.0
3297,378857,3058,1.0
3297,2980,3129,5.75
3297,207373,3129,46.0
3297,225664,3129,34.0
3297,227405,3129,2.0
3297,236844,3129,5.0
3297,299578,3129,1.0
3297,353199,3129,6.0
3297,376373,3129,3.6
3297,379134,3129,2.0
