COD_DEP,NUM_OBRAS_ASSOCIADAS,OBRAS_EXECUTADAS,SOMA_PRIORIDADES_EXECUTADAS,SOMA_PRIORIDADES_ASSOCIADAS
3256,667,191.0,12053.310699999996,33683.5
3113,476,9.0,629.8865000000001,24038.0
3257,346,196.0,11822.904300000002,17472.999999999996
3182,264,34.0,1889.7794,13331.999999999993
3273,211,49.0,3048.228500000001,10655.5
6300,197,9.0,657.5511,9948.5
3285,181,38.0,2198.9500000000003,9140.5
3286,170,49.0,2495.8813,8585.0
3294,160,35.0,1929.6981,8079.999999999998
3326,153,27.0,1605.7895000000003,7726.500000000003
